"sid","moA1","moA2","coA1","coA2","pA1","moB1","moB2","coB1","coB2","pB1","evmoA","sdmoA","evcoA","sdcoA","evmoB","sdmoB","evcoB","sdcoB","evdmo","evdco","sddmo","sddco","moAcertain","coAcertain","moBcertain","coBcertain"
-99,40,50,35,45,0.5,25,55,30,60,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,40,40,45
-99,25,30,40,35,0.6,50,55,65,60,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,38,53,62
-99,30,40,65,60,0.7,50,55,20,30,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,64,52,24
-99,40,45,35,25,0.5,50,20,30,65,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,30,44,37
